id,bg_year_id,bg_make_id,bg_model_id,bg_submodel_id,,,,
1082,51,,,,,,,
1083,51,13,59,,,,,
1084,51,31,,,,,,
1085,51,8,35,,,,,
1086,51,,,,,,,
1087,51,4,15,,,,,
1088,51,27,117,,,,,
1089,51,8,32,,,,,
1090,51,,,,,,,
1091,51,2,,,,,,
1092,51,37,213,,,,,
1093,51,41,,,,,,
1094,51,,,,,,,
1095,51,30,404,,,,,
1096,51,17,,,,,,
1097,51,,,,,,,
1098,51,,,,,,,
1099,51,34,,,,,,
1100,51,5,,,,,,
1101,51,2,,,,,,
1102,51,8,,,,,,
1103,51,33,,,,,,
1104,51,37,213,,,,,
1105,51,41,,,,,,
1106,51,3,,,,,,
1107,51,5,,,,,,
1108,51,,,,,,,
1109,51,15,,,,,,
1110,51,17,83,,,,,
1111,51,10,,,,,,
1112,51,31,,,,,,
1113,51,19,,,,,,
1114,51,37,212,,,,,
1115,51,27,117,,,,,
1116,51,29,126,,,,,
1117,51,,,,,,,
1118,51,,,,,,,
1119,51,,,,,,,
1120,51,17,,,,,,
1121,51,3,8,,,,,
1122,51,35,,,,,,
1123,51,18,97,,,,,
1124,51,18,97,,,,,
1125,51,33,350,,,,,
1126,51,3,,,,,,
1127,51,3,,,,,,
1128,51,17,,,,,,
1129,51,5,,,,,,
1130,51,5,,,,,,
1131,51,,,,,,,
1132,51,32,,,,,,
1133,51,10,,,,,,
1134,51,5,,,,,,
1135,51,35,,,,,,
1136,51,34,,,,,,
1137,51,18,,,,,,
1138,51,64,,,,,,
1139,51,35,195,,,,,
1140,51,35,,,,,,
1141,51,2,151,,,,,
1142,51,8,32,,,,,
1143,51,,,,,,,
1144,51,34,,,,,,
1145,51,11,54,,,,,
1146,51,12,,,,,,
